id,commented_sec,comment,is_emoticon
45194,21160.579,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45195,21160.636,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45196,21160.677,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45197,21160.788,wwwwwwwwwww,False
45198,21160.86,ｗｗｗｗｗｗｗｗｗｗｗｗ,False
45199,21160.946,ｗｗｗｗ,False
45200,21161.005,腹痛えww,False
45201,21161.016,ｗｗｗｗｗｗｗｗｗ,False
45202,21161.019,はい,False
45203,21161.227,LUL,True
45204,21161.313,wwww,False
45205,21161.498,よく抑えた,False
45206,21161.541,www,False
45207,21161.581,ｗｗｗｗｗｗｗｗｗｗｗｗ,False
45208,21161.6,ｗｗｗｗｗｗｗｗ,False
45209,21161.629,ｗｗｗｗｗｗｗｗｗ,False
45210,21161.633,へった,False
45211,21161.673,LUL LUL LUL LUL LUL,True
45212,21161.72,ｗｗｗｗｗｗｗｗｗｗ,False
45213,21161.783,wwwwwwwwww,False
45214,21161.955,あ,False
45215,21162.124,ｗｗｗ,False
45216,21162.139,LUL LUL LUL LUL,True
45217,21162.202,ざまあwww,False
45218,21162.211,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45219,21162.352,マンタ戦好き,False
45220,21162.648,ｗｗｗｗｗｗ,False
45221,21162.712,w w w w w w w w w,False
45222,21162.727,ｗｗｗｗｗｗｗｗｗｗｗｗ,False
45223,21162.73,shakaRage2 shakaRage2 shakaRage2,True
45224,21162.811,ｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45225,21162.846,下手くそすぎるｗ,False
45226,21162.899,ｗｗｗｗｗｗｗ,False
45227,21162.906,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45228,21162.96,shakaShakaa shakaShakaa shakaShakaa,True
45229,21162.962,シャぁ？？？？？？？？？,False
45230,21163.002,へったwwwwww,False
45231,21163.077,叩いちゃだめよ,False
45232,21163.08,ｗｗｗｗｗｗｗｗｗｗｗｗ,False
45233,21163.482,まさかここまで下手とはｗｗｗｗｗｗ,False
45234,21163.539,いいね,False
45235,21163.594,ｗｗｗｗｗｗｗ,False
45236,21163.692,未だホバーを理解していない,False
45237,21163.703,shakaKichi2 shakaKichi2 shakaKichi2 shakaKichi2 shakaKichi2,True
